epoch,phase,loss,accuracy,f1,recall,roc_auc
1,train,0.17687041841538773,0.932707055214724,0.9328929922495007,0.932707055214724,0.9750476053017728
1,val,0.28439703583717346,0.875,0.873015873015873,0.875,0.96875
2,train,0.1142955132377294,0.9551380368098159,0.9550496309796938,0.9551380368098159,0.9894757402997283
2,val,0.7657136917114258,0.75,0.7333333333333334,0.75,0.875
3,train,0.10510644738910938,0.9616564417177914,0.9616843816999371,0.9616564417177914,0.9908705588030117
3,val,0.8957874178886414,0.625,0.5636363636363637,0.625,0.953125
4,train,0.09274978002110508,0.9658742331288344,0.965890832033519,0.9658742331288344,0.9928554040076014
4,val,0.31720247864723206,0.875,0.875,0.875,0.90625
5,train,0.08342919379838405,0.9697085889570553,0.9697159652996219,0.9697085889570553,0.9939055591638402
5,val,0.39796197414398193,0.75,0.7333333333333334,0.75,1.0
6,train,0.05737981496470198,0.9794861963190185,0.979468611766455,0.9794861963190185,0.9970442856799211
6,val,0.5225349068641663,0.6875,0.6536796536796536,0.6875,0.984375
7,train,0.050192724743378034,0.9812116564417178,0.9812116564417178,0.9812116564417178,0.9979785908445792
7,val,0.39109349250793457,0.875,0.873015873015873,0.875,1.0
8,train,0.04374367285354143,0.9831288343558282,0.9831329426985236,0.9831288343558282,0.9984446849967524
8,val,0.26829445362091064,0.875,0.873015873015873,0.875,1.0
9,train,0.04274278477854181,0.9838957055214724,0.9838996271213178,0.9838957055214724,0.9985156960381035
9,val,0.20418116450309753,0.875,0.873015873015873,0.875,1.0
10,train,0.044076402061704566,0.9852377300613497,0.985246699863992,0.9852377300613497,0.9982218373385292
10,val,0.10465177893638611,1.0,1.0,1.0,1.0
